Afric Std,2009,0,1.5,0.5,0.9,1.5,6,0,6,4,7,63.60%,11,6.3,4,17.2,6.3,10.9,17.2,68.8,0,68.8,4,7,63.60%,11,6.3,4,14,0,77833
Amer Std,2009,0,9,6.5,8,12,72,0,72,8,3,27.30%,11,9,6,14.3,10.4,12.7,19.1,114.7,0,114.7,8,3,27.30%,11,9,6,13,4,78000
Anc Std,2009,0,10.7,10.7,10.7,12.8,64,0,64,6,0,0.00%,6,6,5,22.2,22.2,22.2,26.6,132.9,0,132.9,6,0,0.00%,6,6,5,19,0,98969
Dance,2009,0,12.5,7.1,10,16.7,50,0,50,4,3,42.90%,7,5,3,11.9,6.8,9.5,15.9,47.7,0,47.7,4,3,42.90%,7,5,3,20,0,93127
Economics,2009,0,30.2,18.5,25,31.9,550,24,574,19,12,38.70%,31,23,18,27,16.5,22.3,28.5,486.7,25.6,512.3,19,12,38.70%,31,23,18,56,67,104340
Education,2009,0,20.7,10.6,15.7,48.2,0,434,434,21,20,48.80%,41,27.7,9,13.2,6.7,10,30.7,74.5,201.8,276.3,21,20,48.80%,41,27.7,9,0,311,89818
Emgcy Hlth Srvc,2009,0,16.9,9.8,13.6,59,87,31,118,7,5,41.70%,12,8.7,2,9.6,5.6,7.8,33.8,54.7,12.8,67.5,7,5,41.70%,12,8.7,2,7,0,121717
English,2009,0,12,5.9,8.9,26.3,289,0,289,24,25,51.00%,49,32.3,11,21.1,10.3,15.7,46.1,506.9,0,506.9,24,25,51.00%,49,32.3,11,118,0,143100
Gend & Wm Std,2009,0,13.5,9,11.6,27,27,0,27,2,1,33.30%,3,2.3,1,29.7,19.8,25.4,59.3,59.1,0.3,59.3,2,1,33.30%,3,2.3,1,28,0,89868
Geog & Env Sys,2009,0,19.9,18.5,19.4,25.3,216,62,278,14,1,6.70%,15,14.3,11,27.5,25.7,26.9,35.1,353.5,32.1,385.6,14,1,6.70%,15,14.3,11,11,16,112809
History,2009,0,22.5,15,19.3,24,297,63,360,16,8,33.30%,24,18.7,15,21.4,14.3,18.3,22.8,297.3,44.8,342.1,16,8,33.30%,24,18.7,15,66,3,118878
Lang Lit & Cult,2009,0,26.5,26.5,26.5,26.5,0,53,53,2,0,0.00%,2,2,2,21,21,21,21,0,42,42,2,0,0.00%,2,2,2,0,0,119308
Med & Comm Std,2009,0,98.5,65.7,84.4,197,197,0,197,2,1,33.30%,3,2.3,1,20.9,13.9,17.9,41.8,41.8,0,41.8,2,1,33.30%,3,2.3,1,0,7,139762
Modern LL & IC,2009,0,9.3,6.1,7.9,13.5,207,36,243,26,14,35.00%,40,30.7,18,25.4,16.5,21.6,36.7,644.1,17,661.1,26,14,35.00%,40,30.7,18,151,14,126363
Music,2009,0,13.8,8.7,11.5,23.6,160,5,165,12,7,36.80%,19,14.3,7,16.7,10.5,14,28.6,197.6,2.5,200.1,12,7,36.80%,19,14.3,7,54,0,126393
Philosophy,2009,0,9.1,6.4,8,16,64,0,64,7,3,30.00%,10,8,4,28.4,19.9,24.8,49.7,198.6,0,198.6,7,3,30.00%,10,8,4,32,0,84613
Political Sci,2009,0,34.7,23.1,29.7,36.7,416,0,416,12,6,33.30%,18,14,11.3,20.9,13.9,17.9,22.1,250.5,0,250.5,12,6,33.30%,18,14,11.3,120,5,135638
Psychology,2009,0,45,36.3,41.7,58.2,951,174,"1,125",25,6,19.40%,31,27,19.3,34.8,28.1,32.2,45,744.9,124.8,869.7,25,6,19.40%,31,27,19.3,256,8,147579
Public Policy,2009,0,19.4,15.5,17.9,18.6,0,155,155,8,2,20.00%,10,8.7,8.3,10.7,8.5,9.8,10.2,0,85.3,85.3,8,2,20.00%,10,8.7,8.3,0,0,128698
Socy & Anth,2009,0,28.2,17.5,23.4,29.8,428,79,507,18,11,37.90%,29,21.7,17,28.1,17.5,23.4,29.8,453.1,53.1,506.3,18,11,37.90%,29,21.7,17,147,0,107283
Theatre,2009,0,9.4,6.5,8.2,14.2,85,0,85,9,4,30.80%,13,10.3,6,10,6.9,8.7,15,89.9,0,89.9,9,4,30.80%,13,10.3,6,19,0,104488
Visual Arts,2009,0,23,11.2,17,23,442,17,459,20,21,51.20%,41,27,20,17.2,8.4,12.8,17.2,330.9,13.6,344.5,20,21,51.20%,41,27,20,33,0,140444
